,ID,Primary Type,Arrest,Community Area,Year,Latitude,Longitude,FIPS,Tract,Block
410246,10754425,WEAPONS VIOLATION,True,29.0,2016,41.865546711,-87.71950311399999,170318387001003,838700,1003
401240,10739279,THEFT,False,40.0,2016,41.786985519,-87.617407489,170318345001026,834500,1026
4142877,3284222,DECEPTIVE PRACTICE,False,40.0,2004,41.792518802,-87.617536606,170314004001012,400400,1012
3579346,2515949,CRIMINAL DAMAGE,False,62.0,2002,41.79769829,-87.72328661799999,170316201001009,620100,1009
5108572,5286802,DECEPTIVE PRACTICE,False,69.0,2006,41.759993951,-87.62871427399999,170316911002000,691100,2000
4626451,4244087,NARCOTICS,True,49.0,2005,41.722635534,-87.62869033,170318340001034,834000,1034
5831176,6840628,BURGLARY,False,71.0,2009,41.743119943,-87.6599535,170317107004006,710700,4006
2929948,9362312,ASSAULT,False,43.0,2013,41.758851459,-87.57845905399999,170314309002022,430900,2022
4960527,4936758,CRIMINAL DAMAGE,False,32.0,2006,41.868322989,-87.625844413,170313206001010,320600,1010
4890719,4789094,THEFT,False,76.0,2006,41.976290414,-87.905227221,170319800001010,980000,1010
3163895,9835390,BATTERY,True,38.0,2014,41.807579953,-87.615424963,170313812001003,381200,1003
3439177,2290105,BATTERY,False,69.0,2002,41.765097814,-87.60920918,170316909004000,690900,4000
2199638,7932219,THEFT,False,32.0,2011,41.884497529,-87.625838595,170313201002026,320100,2026
5081882,5220284,ASSAULT,False,21.0,2007,41.933428724,-87.716015446,170312106023011,210602,3011
4667789,4348551,THEFT,False,49.0,2005,41.688268664,-87.613245631,170314914003010,491400,3010
2758818,9090469,THEFT,False,69.0,2013,41.754546901,-87.627436159,170316912002021,691200,2021
5428764,5999983,OTHER OFFENSE,False,67.0,2008,41.789653467,-87.662033569,170316702001027,670200,1027
2470555,8418455,MOTOR VEHICLE THEFT,False,3.0,2011,41.969330114,-87.65967969100001,170310311002003,031100,2003
5221976,5567450,NARCOTICS,True,25.0,2007,41.888656822,-87.74911433700001,170312516002013,251600,2013
1787043,6688006,THEFT,False,52.0,2008,41.702290724,-87.537704374,170315203002013,520300,2013
5291354,5710669,ASSAULT,False,66.0,2007,41.77621374,-87.70404861,170316605001013,660500,1013
1961759,7470634,ASSAULT,False,24.0,2010,41.901488240999996,-87.696843586,170312426002006,242600,2006
5131732,5342216,THEFT,False,1.0,2007,42.022257554,-87.669613699,170310101001001,010100,1001
1479431,8799347,OFFENSE INVOLVING CHILDREN,False,77.0,2012,41.977063209,-87.6508417,170310307061005,030706,1005
4896472,4801761,BATTERY,False,67.0,2006,41.768431856,-87.67435905,170316715002005,671500,2005
4030199,3128182,THEFT,False,6.0,2004,41.940903244,-87.668693783,170310625001014,062500,1014
96018,10180936,THEFT,False,6.0,2015,41.936916343,-87.67209812700001,170310626001011,062600,1011
2806232,9164876,BATTERY,False,6.0,2013,41.948279589,-87.64951666700001,170310610001009,061000,1009
1786871,6685906,BURGLARY,False,22.0,2008,41.921896404,-87.672910961,170318323001004,832300,1004
1069933,3706824,KIDNAPPING,False,77.0,2004,41.986167411,-87.656692083,170310306043003,030604,3003
2305202,8105445,CRIMINAL DAMAGE,False,72.0,2011,41.713261229000004,-87.672146642,170317203001019,720300,1019
2930391,9363013,BURGLARY,False,71.0,2013,41.746835171,-87.655191157,170317107002006,710700,2006
1936295,7431631,CRIMINAL DAMAGE,False,23.0,2010,41.888897617,-87.72467466399999,170312315005012,231500,5012
828756,2547631,NARCOTICS,True,42.0,2003,41.779827581,-87.605916085,170314208001009,420800,1009
1503159,5110086,ROBBERY,False,42.0,2006,41.780601743000005,-87.58713169399999,170314201001023,420100,1023
1565439,1938321,BATTERY,True,,2002,41.998635955,-87.68503836100001,170310205004005,020500,4005
5191423,5493974,BATTERY,False,61.0,2007,41.799212087,-87.651364176,170316120001012,612000,1012
3894863,2937925,BATTERY,False,6.0,2003,41.951639182,-87.66171880600001,170310605001005,060500,1005
2842128,9220470,THEFT,False,49.0,2013,41.69189982,-87.64236788299999,170317506001000,750600,1000
1846107,7247374,THEFT,True,29.0,2009,41.866215538,-87.721930788,170318387003000,838700,3000
211184,10390144,BATTERY,False,22.0,2016,41.921715143,-87.668606344,170318323001032,832300,1032
5449612,6045345,MOTOR VEHICLE THEFT,False,8.0,2008,41.903143885,-87.63063596,170310810006000,081000,6000
